,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
868,2017-12-20,7408.236132596686,7408.236132596686,7408.236132596686,6821.066643983966,6593.078721036501,7042.664294773957
869,2017-12-21,7415.766940604037,7415.766940604037,7415.766940604037,6813.225133081527,6586.2036673498515,7032.940691018934
870,2017-12-22,7423.297748611389,7423.297748611389,7423.297748611389,6811.930103198174,6583.693010721096,7011.391412595338
871,2017-12-26,7453.420980640793,7453.420980640793,7453.420980640793,6812.6345177474395,6593.050669801785,7011.7185296544885
872,2017-12-27,7460.9517886481435,7460.9517886481435,7460.9517886481435,6815.140132654015,6596.678170310414,7033.9709536461505
873,2017-12-28,7468.482596655493,7468.482596655493,7468.482596655493,6813.327837086476,6605.681293062627,7039.146743013887
874,2017-12-29,7476.013404662844,7476.013404662844,7476.013404662844,6818.695801452345,6593.53214773756,7057.3868078819
875,2018-01-02,7506.136636692248,7506.136636692248,7506.136636692248,6849.9633832311265,6630.58732345044,7078.75007743925
876,2018-01-03,7513.667444699599,7513.667444699599,7513.667444699599,6860.3922450161745,6633.10567022854,7081.744738908517
877,2018-01-04,7521.19825270695,7521.19825270695,7521.19825270695,6866.320970565438,6649.36202973525,7093.534386292097
878,2018-01-05,7528.729060714301,7528.729060714301,7528.729060714301,6879.101521705853,6667.385955444625,7095.40128688008
879,2018-01-08,7551.321484736353,7551.321484736353,7551.321484736353,6909.29136109849,6677.612615565021,7132.988203506071
880,2018-01-09,7558.852292743704,7558.852292743704,7558.852292743704,6934.11218512157,6727.381902812947,7161.809984808916
881,2018-01-10,7566.383100751055,7566.383100751055,7566.383100751055,6948.464491480792,6729.058687979279,7179.171534427953
882,2018-01-11,7573.913908758408,7573.913908758408,7573.913908758408,6957.360797719618,6716.18980013397,7181.326939591221
883,2018-01-12,7581.444716765759,7581.444716765759,7581.444716765759,6972.114999212005,6764.824989167164,7182.720451503753
884,2018-01-16,7611.567948795162,7611.567948795162,7611.567948795162,7025.144390846325,6802.829193592173,7244.665636387783
885,2018-01-17,7619.098756802513,7619.098756802513,7619.098756802513,7036.7521185127325,6821.279920778401,7262.711046284505
886,2018-01-18,7626.629564809864,7626.629564809864,7626.629564809864,7042.167729712373,6830.911139232468,7251.765924914795
887,2018-01-19,7634.160372817213,7634.160372817213,7634.160372817213,7052.819556555683,6841.132719979689,7274.985798105512
888,2018-01-22,7656.752796839269,7656.752796839269,7656.752796839269,7068.245239267042,6858.306728048528,7273.259606904633
889,2018-01-23,7664.28360484662,7664.28360484662,7664.28360484662,7085.951416021195,6868.175728649918,7317.961954544357
890,2018-01-24,7671.814412853969,7671.814412853969,7671.814412853969,7092.457292522405,6875.640319828495,7286.397924254476
891,2018-01-25,7679.34522086132,7679.34522086132,7679.34522086132,7093.022403741994,6884.383826546924,7312.907204860336
892,2018-01-26,7686.87602886867,7686.87602886867,7686.87602886867,7099.218186863587,6874.71969658549,7309.832402164194
893,2018-01-29,7685.591403545283,7685.591403545283,7685.591403545283,7081.023990954745,6865.208812832822,7323.359405131783
894,2018-01-30,7685.1631951041545,7685.1631951041545,7685.1631951041545,7089.073485544366,6875.309431153858,7311.103382540572
895,2018-01-31,7684.734986663026,7684.734986663026,7684.734986663026,7086.821048870751,6870.831586331819,7303.627229255892
896,2018-02-01,7684.306778221897,7684.306778221897,7684.306778221897,7079.568177020303,6865.9117435347,7292.969875386547
897,2018-02-02,7683.878569780768,7683.878569780768,7683.878569780768,7078.905439841681,6857.56412281408,7310.943491286618
898,2018-02-05,7682.5939444573805,7682.5939444573805,7682.5939444573805,7069.616531539337,6840.0216486906,7290.591726707555
899,2018-02-06,7682.165736016252,7682.165736016252,7682.165736016252,7082.341235701899,6854.667174579503,7290.4334031160815
900,2018-02-07,7681.737527575123,7681.737527575123,7681.737527575123,7085.486515677709,6870.727309377033,7289.9531876796855
901,2018-02-08,7681.309319133994,7681.309319133994,7681.309319133994,7084.24935042103,6860.189526218443,7304.480092516178
902,2018-02-09,7680.881110692864,7680.881110692864,7680.881110692864,7090.102019341871,6851.772490707361,7296.002325527917
903,2018-02-12,7679.596485369478,7679.596485369478,7679.596485369478,7102.031558651895,6886.209179124278,7320.715738977519
904,2018-02-13,7679.168276928349,7679.168276928349,7679.168276928349,7121.919552246051,6908.138060799676,7349.035555564148
905,2018-02-14,7678.74006848722,7678.74006848722,7678.74006848722,7132.0390580639005,6930.04236088372,7342.2685421614915
906,2018-02-15,7678.311860046091,7678.311860046091,7678.311860046091,7137.452816865089,6912.691016956946,7353.059536821023
907,2018-02-16,7677.883651604962,7677.883651604962,7677.883651604962,7149.507367932445,6930.0250283162295,7363.133469436334
908,2018-02-20,7676.170817840446,7676.170817840446,7676.170817840446,7199.566871435623,6986.841286358868,7430.567715555011
909,2018-02-21,7675.742609399316,7675.742609399316,7675.742609399316,7212.224273816176,7005.440275399136,7441.499435632096
